,ITEM_ID,TRUE_EPID,Aspect,Old Value,New Value,ITEM_SENTENCE,Initial Score,Score,Score Change,Added(1) / Updated(0) Aspect,Value changed,Existed before,Item link,Product link
0,116070626678,3057717970,game,['Pokémon TCG'],['Pokémon TCG'],"[TITLE_TXT] NM Pokemon Silver Tempest Ho-Oh V Ultra Rare #0140/195 [set] Sword & Shield - Silver Tempest [card_name] Ho-oh [character] Ho-Oh [manufacturer] Pokémon [features] Chase, V [game] Pokémon TCG [language] English [card_number] 140",0.21277,0.05373,-0.15904,0,0,0,https://matchingdashboard.vip.ebay.com/?itemId=116070626678,https://matchingdashboard.vip.ebay.com/getProduct?epid=3057717970
1,116070626678,3057717970,card_name,['Ho-oh'],['Ho-Oh V'],"[TITLE_TXT] NM Pokemon Silver Tempest Ho-Oh V Ultra Rare #0140/195 [manufacturer] Pokémon [card_number] 140 [set] Sword & Shield - Silver Tempest [card_name] Ho-Oh V [language] English [character] Ho-Oh [game] Pokémon TCG [features] Chase, V",0.21277,0.21683,0.00406,0,1,1,https://matchingdashboard.vip.ebay.com/?itemId=116070626678,https://matchingdashboard.vip.ebay.com/getProduct?epid=3057717970
2,116070626678,3057717970,set,['Sword & Shield - Silver Tempest'],['Swsh12: Sword & Shield - Silver Tempest'],"[TITLE_TXT] NM Pokemon Silver Tempest Ho-Oh V Ultra Rare #0140/195 [character] Ho-Oh [card_number] 140 [manufacturer] Pokémon [set] Swsh12: Sword & Shield - Silver Tempest [card_name] Ho-oh [features] Chase, V [language] English [game] Pokémon TCG",0.21277,0.16026,-0.05251,0,1,0,https://matchingdashboard.vip.ebay.com/?itemId=116070626678,https://matchingdashboard.vip.ebay.com/getProduct?epid=3057717970
3,116070626678,3057717970,card_number,['140'],['140/195'],"[TITLE_TXT] NM Pokemon Silver Tempest Ho-Oh V Ultra Rare #0140/195 [features] Chase, V [game] Pokémon TCG [character] Ho-Oh [manufacturer] Pokémon [language] English [card_number] 140/195 [card_name] Ho-oh [set] Sword & Shield - Silver Tempest",0.21277,0.00525,-0.20752,0,1,1,https://matchingdashboard.vip.ebay.com/?itemId=116070626678,https://matchingdashboard.vip.ebay.com/getProduct?epid=3057717970
4,116070626678,3057717970,language,['English'],['English'],"[TITLE_TXT] NM Pokemon Silver Tempest Ho-Oh V Ultra Rare #0140/195 [card_number] 140 [game] Pokémon TCG [language] English [card_name] Ho-oh [character] Ho-Oh [set] Sword & Shield - Silver Tempest [features] Chase, V [manufacturer] Pokémon",0.21277,0.23443,0.02166,0,0,0,https://matchingdashboard.vip.ebay.com/?itemId=116070626678,https://matchingdashboard.vip.ebay.com/getProduct?epid=3057717970
5,116070626678,3057717970,manufacturer,['Pokémon'],['The Pokémon Company'],"[TITLE_TXT] NM Pokemon Silver Tempest Ho-Oh V Ultra Rare #0140/195 [features] Chase, V [card_name] Ho-oh [card_number] 140 [manufacturer] The Pokémon Company [game] Pokémon TCG [language] English [character] Ho-Oh [set] Sword & Shield - Silver Tempest",0.21277,0.15047,-0.0623,0,1,0,https://matchingdashboard.vip.ebay.com/?itemId=116070626678,https://matchingdashboard.vip.ebay.com/getProduct?epid=3057717970
6,116070626678,3057717970,ITEM_TITLE,NM Pokemon Silver Tempest Ho-Oh V Ultra Rare #0140/195,Ho-Oh V 140/195 Swsh12: Sword & Shield - Silver Tempest Holo,"[TITLE_TXT] Ho-Oh V 140/195 Swsh12: Sword & Shield - Silver Tempest Holo [card_number] 140 [set] Sword & Shield - Silver Tempest [card_name] Ho-oh [manufacturer] Pokémon [game] Pokémon TCG [language] English [features] Chase, V [character] Ho-Oh",0.21277,0.99493,0.78216,0,1,0,https://matchingdashboard.vip.ebay.com/?itemId=116070626678,https://matchingdashboard.vip.ebay.com/getProduct?epid=3057717970
7,126224885531,4043367473,game,['Pokémon TCG'],['Pokémon TCG'],"[TITLE_TXT] Pokémon Card Ho-Oh Rare Star PSA 9 Mint, Neo Revelation #18, 2001 WOTC [features] Rare Star [card_name] Ho-oh [manufacturer] Wizards of the Coast [set] Neo Revelation [card_number] 18/64 [character] Ho-Oh [game] Pokémon TCG",0.01351,0.01036,-0.00316,0,0,0,https://matchingdashboard.vip.ebay.com/?itemId=126224885531,https://matchingdashboard.vip.ebay.com/getProduct?epid=4043367473
8,126224885531,4043367473,card_name,['Ho-oh'],['Ho-oh'],"[TITLE_TXT] Pokémon Card Ho-Oh Rare Star PSA 9 Mint, Neo Revelation #18, 2001 WOTC [card_name] Ho-oh [card_number] 18/64 [character] Ho-Oh [features] Rare Star [manufacturer] Wizards of the Coast [set] Neo Revelation [game] Pokémon TCG",0.01351,0.01422,0.00071,0,0,1,https://matchingdashboard.vip.ebay.com/?itemId=126224885531,https://matchingdashboard.vip.ebay.com/getProduct?epid=4043367473
9,126224885531,4043367473,set,['Neo Revelation'],['Neo Revelation'],"[TITLE_TXT] Pokémon Card Ho-Oh Rare Star PSA 9 Mint, Neo Revelation #18, 2001 WOTC [set] Neo Revelation [card_number] 18/64 [game] Pokémon TCG [manufacturer] Wizards of the Coast [card_name] Ho-oh [character] Ho-Oh [features] Rare Star",0.01351,0.02039,0.00687,0,0,1,https://matchingdashboard.vip.ebay.com/?itemId=126224885531,https://matchingdashboard.vip.ebay.com/getProduct?epid=4043367473
10,126224885531,4043367473,card_number,['18/64'],['18/64'],"[TITLE_TXT] Pokémon Card Ho-Oh Rare Star PSA 9 Mint, Neo Revelation #18, 2001 WOTC [game] Pokémon TCG [manufacturer] Wizards of the Coast [card_number] 18/64 [features] Rare Star [character] Ho-Oh [set] Neo Revelation [card_name] Ho-oh",0.01351,0.01604,0.00253,0,0,0,https://matchingdashboard.vip.ebay.com/?itemId=126224885531,https://matchingdashboard.vip.ebay.com/getProduct?epid=4043367473
11,126224885531,4043367473,features,['Rare Star'],['Unlimited'],"[TITLE_TXT] Pokémon Card Ho-Oh Rare Star PSA 9 Mint, Neo Revelation #18, 2001 WOTC [set] Neo Revelation [card_number] 18/64 [card_name] Ho-oh [character] Ho-Oh [game] Pokémon TCG [features] Unlimited [manufacturer] Wizards of the Coast",0.01351,0.84623,0.83271,0,1,0,https://matchingdashboard.vip.ebay.com/?itemId=126224885531,https://matchingdashboard.vip.ebay.com/getProduct?epid=4043367473
12,126224885531,4043367473,language,,['English'],"[TITLE_TXT] Pokémon Card Ho-Oh Rare Star PSA 9 Mint, Neo Revelation #18, 2001 WOTC [character] Ho-Oh [game] Pokémon TCG [card_number] 18/64 [features] Rare Star [language] English [manufacturer] Wizards of the Coast [set] Neo Revelation [card_name] Ho-oh",0.01351,0.01427,0.00076,1,0,0,https://matchingdashboard.vip.ebay.com/?itemId=126224885531,https://matchingdashboard.vip.ebay.com/getProduct?epid=4043367473
13,126224885531,4043367473,manufacturer,['Wizards of the Coast'],['The Pokémon Company'],"[TITLE_TXT] Pokémon Card Ho-Oh Rare Star PSA 9 Mint, Neo Revelation #18, 2001 WOTC [game] Pokémon TCG [card_number] 18/64 [set] Neo Revelation [card_name] Ho-oh [manufacturer] The Pokémon Company [features] Rare Star [character] Ho-Oh",0.01351,0.04422,0.0307,0,1,0,https://matchingdashboard.vip.ebay.com/?itemId=126224885531,https://matchingdashboard.vip.ebay.com/getProduct?epid=4043367473
14,126224885531,4043367473,ITEM_TITLE,"Pokémon Card Ho-Oh Rare Star PSA 9 Mint, Neo Revelation #18, 2001 WOTC",Ho-oh 18/64 Neo Revelation Regular,[TITLE_TXT] Ho-oh 18/64 Neo Revelation Regular [features] Rare Star [manufacturer] Wizards of the Coast [game] Pokémon TCG [card_name] Ho-oh [character] Ho-Oh [set] Neo Revelation [card_number] 18/64,0.01351,0.82033,0.80682,0,1,0,https://matchingdashboard.vip.ebay.com/?itemId=126224885531,https://matchingdashboard.vip.ebay.com/getProduct?epid=4043367473
