,UID,CANDIDATE_EPID,Aspect,value,ITEM_SENTENCE,logit,score,original_score,score_difference,Item link,Product link
0,114257477002,7053396814,collaboration,,[TITLE_TXT] Vans X Taka Hayashi UltraCush S-19 TH 138 Mid LX PRO Men’s 13 New [brand] VANS [style_code] Th-138 Mid LX [color] White [department] Men [model] VANS X Taka Hayashi [nickname] Taka [performance/activity] Skateboarding [product_line] Vans UltraCush [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [closure] Lace Up [shoe_shaft_style] Mid Top [shoe_width] Standard [upper_material] Cotton [outsole_material] Rubber [customized] No,0.09726616740226746,0.261028201972313,0.2610281303484444,7.162386861381265e-08,https://matchingdashboard.vip.ebay.com/?itemId=114257477002,https://matchingdashboard.vip.ebay.com/getProduct?epid=7053396814
1,114257477002,7053396814,manufacturer_color,['Marshmallow/Gum'],[TITLE_TXT] Vans X Taka Hayashi UltraCush S-19 TH 138 Mid LX PRO Men’s 13 New [brand] VANS [style_code] Th-138 Mid LX [color] White [manufacturer_color] Marshmallow/Gum [department] Men [model] VANS X Taka Hayashi [nickname] Taka [performance/activity] Skateboarding [product_line] Vans UltraCush [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [closure] Lace Up [shoe_shaft_style] Mid Top [shoe_width] Standard [upper_material] Cotton [outsole_material] Rubber [customized] No,0.6439054608345032,0.6426294076319962,0.2610281303484444,0.38160127728355175,https://matchingdashboard.vip.ebay.com/?itemId=114257477002,https://matchingdashboard.vip.ebay.com/getProduct?epid=7053396814
2,114257477002,7053396814,release_year,,[TITLE_TXT] Vans X Taka Hayashi UltraCush S-19 TH 138 Mid LX PRO Men’s 13 New [brand] VANS [style_code] Th-138 Mid LX [color] White [department] Men [model] VANS X Taka Hayashi [nickname] Taka [performance/activity] Skateboarding [product_line] Vans UltraCush [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [closure] Lace Up [shoe_shaft_style] Mid Top [shoe_width] Standard [upper_material] Cotton [outsole_material] Rubber [customized] No,0.09726616740226746,0.261028201972313,0.2610281303484444,7.162386861381265e-08,https://matchingdashboard.vip.ebay.com/?itemId=114257477002,https://matchingdashboard.vip.ebay.com/getProduct?epid=7053396814
3,114257477002,7053396814,sub_model,,[TITLE_TXT] Vans X Taka Hayashi UltraCush S-19 TH 138 Mid LX PRO Men’s 13 New [brand] VANS [style_code] Th-138 Mid LX [color] White [department] Men [model] VANS X Taka Hayashi [nickname] Taka [performance/activity] Skateboarding [product_line] Vans UltraCush [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [closure] Lace Up [shoe_shaft_style] Mid Top [shoe_width] Standard [upper_material] Cotton [outsole_material] Rubber [customized] No,0.09726616740226746,0.261028201972313,0.2610281303484444,7.162386861381265e-08,https://matchingdashboard.vip.ebay.com/?itemId=114257477002,https://matchingdashboard.vip.ebay.com/getProduct?epid=7053396814
4,114257477002,7053396814,theme,,[TITLE_TXT] Vans X Taka Hayashi UltraCush S-19 TH 138 Mid LX PRO Men’s 13 New [brand] VANS [style_code] Th-138 Mid LX [color] White [department] Men [model] VANS X Taka Hayashi [nickname] Taka [performance/activity] Skateboarding [product_line] Vans UltraCush [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [closure] Lace Up [shoe_shaft_style] Mid Top [shoe_width] Standard [upper_material] Cotton [outsole_material] Rubber [customized] No,0.09726616740226746,0.261028201972313,0.2610281303484444,7.162386861381265e-08,https://matchingdashboard.vip.ebay.com/?itemId=114257477002,https://matchingdashboard.vip.ebay.com/getProduct?epid=7053396814
5,115500072768_415532940565,5057006806,collaboration,,"[TITLE_TXT] Vans AVE Black Sulphur Volt Size 8.5, 9, 9.5, 10, 10.5, 11 or 12 11 [brand] VANS [color] Black [department] Men [model] Vans AVE [nickname] Black Sulphur [product_line] VANS Ave [style] Sneaker [type] Athletic [leaf_categ_id] 15709",0.08491208404302597,0.5052683249272294,0.5052683956991794,-7.077194996707448e-08,https://matchingdashboard.vip.ebay.com/?itemId=115500072768&var=415532940565,https://matchingdashboard.vip.ebay.com/getProduct?epid=5057006806
6,115500072768_415532940565,5057006806,customized,,"[TITLE_TXT] Vans AVE Black Sulphur Volt Size 8.5, 9, 9.5, 10, 10.5, 11 or 12 11 [brand] VANS [color] Black [department] Men [model] Vans AVE [nickname] Black Sulphur [product_line] VANS Ave [style] Sneaker [type] Athletic [leaf_categ_id] 15709",0.08491208404302597,0.5052682779775753,0.5052683956991794,-1.1772160402045984e-07,https://matchingdashboard.vip.ebay.com/?itemId=115500072768&var=415532940565,https://matchingdashboard.vip.ebay.com/getProduct?epid=5057006806
7,115500072768_415532940565,5057006806,manufacturer_color,['Black/Sulphur'],"[TITLE_TXT] Vans AVE Black Sulphur Volt Size 8.5, 9, 9.5, 10, 10.5, 11 or 12 11 [brand] VANS [color] Black [manufacturer_color] Black/Sulphur [department] Men [model] Vans AVE [nickname] Black Sulphur [product_line] VANS Ave [style] Sneaker [type] Athletic [leaf_categ_id] 15709",0.09776344150304794,0.5154532162859935,0.5052683956991794,0.010184820586814136,https://matchingdashboard.vip.ebay.com/?itemId=115500072768&var=415532940565,https://matchingdashboard.vip.ebay.com/getProduct?epid=5057006806
8,115500072768_415532940565,5057006806,release_year,['2022'],"[TITLE_TXT] Vans AVE Black Sulphur Volt Size 8.5, 9, 9.5, 10, 10.5, 11 or 12 11 [brand] VANS [color] Black [department] Men [model] Vans AVE [nickname] Black Sulphur [product_line] VANS Ave [release_year] 2022 [style] Sneaker [type] Athletic [leaf_categ_id] 15709",0.2982378304004669,0.6755354491175642,0.5052683956991794,0.17026705341838488,https://matchingdashboard.vip.ebay.com/?itemId=115500072768&var=415532940565,https://matchingdashboard.vip.ebay.com/getProduct?epid=5057006806
9,115500072768_415532940565,5057006806,shoe_shaft_style,['Low Top'],"[TITLE_TXT] Vans AVE Black Sulphur Volt Size 8.5, 9, 9.5, 10, 10.5, 11 or 12 11 [brand] VANS [color] Black [department] Men [model] Vans AVE [nickname] Black Sulphur [product_line] VANS Ave [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_shaft_style] Low Top",0.0768660306930542,0.5049246982783748,0.5052683956991794,-0.000343697420804534,https://matchingdashboard.vip.ebay.com/?itemId=115500072768&var=415532940565,https://matchingdashboard.vip.ebay.com/getProduct?epid=5057006806
10,115500072768_415532940565,5057006806,shoe_width,,"[TITLE_TXT] Vans AVE Black Sulphur Volt Size 8.5, 9, 9.5, 10, 10.5, 11 or 12 11 [brand] VANS [color] Black [department] Men [model] Vans AVE [nickname] Black Sulphur [product_line] VANS Ave [style] Sneaker [type] Athletic [leaf_categ_id] 15709",0.08491192013025284,0.505268061931867,0.5052683956991794,-3.337673123438023e-07,https://matchingdashboard.vip.ebay.com/?itemId=115500072768&var=415532940565,https://matchingdashboard.vip.ebay.com/getProduct?epid=5057006806
11,115500072768_415532940565,5057006806,style_code,['VN0A5JIB8YY'],"[TITLE_TXT] Vans AVE Black Sulphur Volt Size 8.5, 9, 9.5, 10, 10.5, 11 or 12 11 [brand] VANS [style_code] VN0A5JIB8YY [color] Black [department] Men [model] Vans AVE [nickname] Black Sulphur [product_line] VANS Ave [style] Sneaker [type] Athletic [leaf_categ_id] 15709",0.9735123515129089,0.9807940195357693,0.5052683956991794,0.4755256238365899,https://matchingdashboard.vip.ebay.com/?itemId=115500072768&var=415532940565,https://matchingdashboard.vip.ebay.com/getProduct?epid=5057006806
12,115500072768_415532940565,5057006806,sub_model,,"[TITLE_TXT] Vans AVE Black Sulphur Volt Size 8.5, 9, 9.5, 10, 10.5, 11 or 12 11 [brand] VANS [color] Black [department] Men [model] Vans AVE [nickname] Black Sulphur [product_line] VANS Ave [style] Sneaker [type] Athletic [leaf_categ_id] 15709",0.08491208404302597,0.5052682779775753,0.5052683956991794,-1.1772160402045984e-07,https://matchingdashboard.vip.ebay.com/?itemId=115500072768&var=415532940565,https://matchingdashboard.vip.ebay.com/getProduct?epid=5057006806
